profileID,respID,qID,altID,obsID,brand,packaging,size,calories,alcohol_content,price,image
1327,1,1,1,1,Budweiser,Bottle,16oz(470ml),101 to 150,4.9 to 5.9,0.75,BudweiserBottle.jpg
4304,1,1,2,1,Coors,Can,8.4oz(250ml),101 to 150,4.9 to 5.9,2.79,CoorsCan.jpg
3711,1,1,3,1,Modelo,Can,12oz(350ml),101 to 150,8 to 12,2.09,ModeloCan.jpg
4103,1,2,1,2,Michelob,Can,8.4oz(250ml),101 to 150,0 to 4.8,2.79,MichelobCan.jpg
1650,1,2,2,2,Miller,Bottle,32oz(950ml),0 to 50,8 to 12,0.75,MillerBottle.jpg
1371,1,2,3,2,Modelo,Can,16oz(470ml),151+,4.9 to 5.9,0.75,ModeloCan.jpg
3488,1,3,1,3,Michelob,Bottle,25oz(740ml),51 to 100,6 to 7.9,2.09,MichelobBottle.jpg
4671,1,3,2,3,Modelo,Can,16oz(470ml),51 to 100,8 to 12,2.79,ModeloCan.jpg
4994,1,3,3,3,Coors,Can,32oz(950ml),151+,12+,2.79,CoorsCan.jpg
4566,1,4,1,4,Modelo,Bottle,12oz(350ml),151+,6 to 7.9,2.79,ModeloBottle.jpg
4349,1,4,2,4,Coors,Bottle,32oz(950ml),101 to 150,4.9 to 5.9,2.79,CoorsBottle.jpg
102,1,4,3,4,Budweiser,Can,8.4oz(250ml),101 to 150,0 to 4.8,1.67,BudweiserCan.jpg
4064,1,5,1,5,Coors,Can,12oz(350ml),51 to 100,0 to 4.8,2.79,CoorsCan.jpg
2726,1,5,2,5,Modelo,Bottle,16oz(470ml),101 to 150,8 to 12,1.99,ModeloBottle.jpg
411,1,5,3,5,Modelo,Can,12oz(350ml),0 to 50,6 to 7.9,1.67,ModeloCan.jpg
4637,1,6,1,6,Budweiser,Bottle,25oz(740ml),0 to 50,8 to 12,2.79,BudweiserBottle.jpg
82,1,6,2,6,Budweiser,Can,25oz(740ml),51 to 100,0 to 4.8,1.67,BudweiserCan.jpg
1333,1,6,3,6,Michelob,Can,25oz(740ml),101 to 150,4.9 to 5.9,0.75,MichelobCan.jpg
