profileID,respID,qID,altID,obsID,brand,packaging,size,calories,alcohol_content,price,image
1425,1,1,1,1,Brand3,Can,16oz(470ml),151+,4.9 to 5.9,1.99,Brand3Can.jpg
1095,1,1,2,1,Brand3,Can,16oz(470ml),0 to 50,12+,0.75,Brand3Can.jpg
1025,1,1,3,1,Brand2,Bottle,8.4oz(250ml),101 to 150,8 to 12,0.75,Brand2Bottle.jpg
2091,1,2,1,2,Brand3,Can,25oz(740ml),51 to 100,6 to 7.9,2.09,Brand3Can.jpg
1755,1,2,2,2,Brand3,Can,16oz(470ml),101 to 150,12+,1.99,Brand3Can.jpg
1738,1,2,3,2,Brand1,Bottle,32oz(950ml),51 to 100,12+,1.99,Brand1Bottle.jpg
212,1,3,1,3,Brand2,Can,8.4oz(250ml),151+,4.9 to 5.9,1.67,Brand2Can.jpg
1018,1,3,2,3,Brand1,Bottle,32oz(950ml),51 to 100,8 to 12,0.75,Brand1Bottle.jpg
1795,1,3,3,3,Brand1,Can,32oz(950ml),151+,12+,1.99,Brand1Can.jpg
268,1,4,1,4,Brand1,Bottle,32oz(950ml),0 to 50,6 to 7.9,1.67,Brand1Bottle.jpg
1058,1,4,2,4,Brand2,Can,12oz(350ml),151+,8 to 12,0.75,Brand2Can.jpg
558,1,4,3,4,Brand3,Bottle,16oz(470ml),101 to 150,12+,1.67,Brand3Bottle.jpg
2354,1,5,1,5,Brand2,Can,16oz(470ml),101 to 150,12+,2.09,Brand2Can.jpg
2,1,5,2,5,Brand2,Can,8.4oz(250ml),0 to 50,0 to 4.8,1.67,Brand2Can.jpg
419,1,5,3,5,Brand2,Bottle,32oz(950ml),51 to 100,8 to 12,1.67,Brand2Bottle.jpg
1309,1,6,1,6,Brand1,Can,25oz(740ml),151+,0 to 4.8,1.99,Brand1Can.jpg
1911,1,6,2,6,Brand3,Can,25oz(740ml),151+,0 to 4.8,2.09,Brand3Can.jpg
1922,1,6,3,6,Brand2,Can,8.4oz(250ml),0 to 50,4.9 to 5.9,2.09,Brand2Can.jpg
2962,1,7,1,7,Brand1,Bottle,25oz(740ml),101 to 150,12+,2.79,Brand1Bottle.jpg
491,1,7,2,7,Brand2,Bottle,12oz(350ml),0 to 50,12+,1.67,Brand2Bottle.jpg
851,1,7,3,7,Brand2,Bottle,12oz(350ml),0 to 50,6 to 7.9,0.75,Brand2Bottle.jpg
2425,1,8,1,8,Brand1,Can,32oz(950ml),0 to 50,0 to 4.8,2.79,Brand1Can.jpg
2171,1,8,2,8,Brand2,Bottle,12oz(350ml),0 to 50,8 to 12,2.09,Brand2Bottle.jpg
423,1,8,3,8,Brand3,Can,8.4oz(250ml),101 to 150,8 to 12,1.67,Brand3Can.jpg
1163,1,9,1,9,Brand2,Bottle,25oz(740ml),101 to 150,12+,0.75,Brand2Bottle.jpg
2995,1,9,2,9,Brand1,Can,32oz(950ml),151+,12+,2.79,Brand1Can.jpg
1685,1,9,3,9,Brand2,Bottle,8.4oz(250ml),0 to 50,12+,1.99,Brand2Bottle.jpg
1583,1,10,1,10,Brand2,Bottle,25oz(740ml),0 to 50,8 to 12,1.99,Brand2Bottle.jpg
1548,1,10,2,10,Brand3,Bottle,16oz(470ml),151+,6 to 7.9,1.99,Brand3Bottle.jpg
156,1,10,3,10,Brand3,Bottle,8.4oz(250ml),51 to 100,4.9 to 5.9,1.67,Brand3Bottle.jpg
368,1,11,1,11,Brand2,Can,12oz(350ml),0 to 50,8 to 12,1.67,Brand2Can.jpg
1870,1,11,2,11,Brand1,Bottle,12oz(350ml),101 to 150,0 to 4.8,2.09,Brand1Bottle.jpg
2999,1,11,3,11,Brand2,Bottle,32oz(950ml),151+,12+,2.79,Brand2Bottle.jpg
317,2,1,1,12,Brand2,Bottle,16oz(470ml),101 to 150,6 to 7.9,1.67,Brand2Bottle.jpg
2066,2,1,2,12,Brand2,Can,32oz(950ml),0 to 50,6 to 7.9,2.09,Brand2Can.jpg
1648,2,1,3,12,Brand1,Bottle,32oz(950ml),101 to 150,8 to 12,1.99,Brand1Bottle.jpg
1310,2,2,1,13,Brand2,Can,25oz(740ml),151+,0 to 4.8,1.99,Brand2Can.jpg
1602,2,2,2,13,Brand3,Bottle,12oz(350ml),51 to 100,8 to 12,1.99,Brand3Bottle.jpg
2616,2,2,3,13,Brand3,Bottle,8.4oz(250ml),151+,4.9 to 5.9,2.79,Brand3Bottle.jpg
1066,2,3,1,14,Brand1,Bottle,16oz(470ml),151+,8 to 12,0.75,Brand1Bottle.jpg
1078,2,3,2,14,Brand1,Bottle,32oz(950ml),151+,8 to 12,0.75,Brand1Bottle.jpg
1672,2,3,3,14,Brand1,Bottle,25oz(740ml),151+,8 to 12,1.99,Brand1Bottle.jpg
1956,2,4,1,15,Brand3,Bottle,8.4oz(250ml),51 to 100,4.9 to 5.9,2.09,Brand3Bottle.jpg
2575,2,4,2,15,Brand1,Can,32oz(950ml),51 to 100,4.9 to 5.9,2.79,Brand1Can.jpg
1757,2,4,3,15,Brand2,Bottle,16oz(470ml),101 to 150,12+,1.99,Brand2Bottle.jpg
322,2,5,1,16,Brand1,Bottle,25oz(740ml),101 to 150,6 to 7.9,1.67,Brand1Bottle.jpg
1252,2,5,2,16,Brand1,Bottle,25oz(740ml),51 to 100,0 to 4.8,1.99,Brand1Bottle.jpg
1038,2,5,3,16,Brand3,Bottle,16oz(470ml),101 to 150,8 to 12,0.75,Brand3Bottle.jpg
2566,2,6,1,17,Brand1,Bottle,16oz(470ml),51 to 100,4.9 to 5.9,2.79,Brand1Bottle.jpg
982,2,6,2,17,Brand1,Bottle,25oz(740ml),0 to 50,8 to 12,0.75,Brand1Bottle.jpg
1229,2,6,3,17,Brand2,Bottle,32oz(950ml),0 to 50,0 to 4.8,1.99,Brand2Bottle.jpg
1845,2,7,1,18,Brand3,Can,16oz(470ml),51 to 100,0 to 4.8,2.09,Brand3Can.jpg
358,2,7,2,18,Brand1,Bottle,32oz(950ml),151+,6 to 7.9,1.67,Brand1Bottle.jpg
312,2,7,3,18,Brand3,Bottle,12oz(350ml),101 to 150,6 to 7.9,1.67,Brand3Bottle.jpg
1391,2,8,1,19,Brand2,Bottle,12oz(350ml),101 to 150,4.9 to 5.9,1.99,Brand2Bottle.jpg
1696,2,8,2,19,Brand1,Bottle,16oz(470ml),0 to 50,12+,1.99,Brand1Bottle.jpg
2073,2,8,3,19,Brand3,Can,8.4oz(250ml),51 to 100,6 to 7.9,2.09,Brand3Can.jpg
2351,2,9,1,20,Brand2,Bottle,12oz(350ml),101 to 150,12+,2.09,Brand2Bottle.jpg
1819,2,9,2,20,Brand1,Can,25oz(740ml),0 to 50,0 to 4.8,2.09,Brand1Can.jpg
2349,2,9,3,20,Brand3,Can,12oz(350ml),101 to 150,12+,2.09,Brand3Can.jpg
284,2,10,1,21,Brand2,Can,16oz(470ml),51 to 100,6 to 7.9,1.67,Brand2Can.jpg
1208,2,10,2,21,Brand2,Can,12oz(350ml),0 to 50,0 to 4.8,1.99,Brand2Can.jpg
2234,2,10,3,21,Brand2,Can,16oz(470ml),101 to 150,8 to 12,2.09,Brand2Can.jpg
2536,2,11,1,22,Brand1,Bottle,16oz(470ml),0 to 50,4.9 to 5.9,2.79,Brand1Bottle.jpg
1035,2,11,2,22,Brand3,Can,16oz(470ml),101 to 150,8 to 12,0.75,Brand3Can.jpg
435,2,11,3,22,Brand3,Can,16oz(470ml),101 to 150,8 to 12,1.67,Brand3Can.jpg
2164,3,1,1,23,Brand1,Bottle,8.4oz(250ml),0 to 50,8 to 12,2.09,Brand1Bottle.jpg
