profileID,respID,qID,altID,obsID,brand,packaging,size,calories,alcohol_content,price,image
4629,1,1,1,1,Coors,Bottle,16oz(470ml),0 to 50,8 to 12,2.79,CoorsBottle.jpg
2558,1,1,2,1,Michelob,Bottle,8.4oz(250ml),151+,6 to 7.9,1.99,MichelobBottle.jpg
630,1,1,3,1,Miller,Bottle,16oz(470ml),0 to 50,8 to 12,1.67,MillerBottle.jpg
2342,1,2,1,2,Budweiser,Can,32oz(950ml),101 to 150,4.9 to 5.9,1.99,BudweiserCan.jpg
2448,1,2,2,2,Michelob,Bottle,32oz(950ml),0 to 50,6 to 7.9,1.99,MichelobBottle.jpg
4929,1,2,3,2,Coors,Bottle,16oz(470ml),101 to 150,12+,2.79,CoorsBottle.jpg
1370,1,3,1,3,Miller,Bottle,12oz(350ml),151+,4.9 to 5.9,0.75,MillerBottle.jpg
4604,1,3,2,3,Coors,Can,8.4oz(250ml),0 to 50,8 to 12,2.79,CoorsCan.jpg
246,1,3,3,3,Modelo,Bottle,32oz(950ml),0 to 50,4.9 to 5.9,1.67,ModeloBottle.jpg
2811,1,4,1,4,Modelo,Can,12oz(350ml),0 to 50,12+,1.99,ModeloCan.jpg
3143,1,4,2,4,Michelob,Can,32oz(950ml),101 to 150,0 to 4.8,2.09,MichelobCan.jpg
245,1,4,3,4,Miller,Can,32oz(950ml),0 to 50,4.9 to 5.9,1.67,MillerCan.jpg
2252,1,5,1,5,Budweiser,Can,8.4oz(250ml),51 to 100,4.9 to 5.9,1.99,BudweiserCan.jpg
1659,1,5,2,5,Coors,Bottle,8.4oz(250ml),51 to 100,8 to 12,0.75,CoorsBottle.jpg
4388,1,5,3,5,Michelob,Bottle,25oz(740ml),151+,4.9 to 5.9,2.79,MichelobBottle.jpg
1348,1,6,1,6,Michelob,Bottle,32oz(950ml),101 to 150,4.9 to 5.9,0.75,MichelobBottle.jpg
3983,1,6,2,6,Michelob,Can,25oz(740ml),151+,12+,2.09,MichelobCan.jpg
3198,1,6,3,6,Michelob,Bottle,32oz(950ml),151+,0 to 4.8,2.09,MichelobBottle.jpg
3829,1,7,1,7,Coors,Bottle,16oz(470ml),0 to 50,12+,2.09,CoorsBottle.jpg
3846,1,7,2,7,Modelo,Bottle,32oz(950ml),0 to 50,12+,2.09,ModeloBottle.jpg
2796,1,7,3,7,Modelo,Bottle,32oz(950ml),151+,8 to 12,1.99,ModeloBottle.jpg
925,1,8,1,8,Miller,Can,16oz(470ml),101 to 150,12+,1.67,MillerCan.jpg
3424,1,8,2,8,Coors,Can,16oz(470ml),0 to 50,6 to 7.9,2.09,CoorsCan.jpg
1317,1,8,3,8,Budweiser,Bottle,12oz(350ml),101 to 150,4.9 to 5.9,0.75,BudweiserBottle.jpg
4326,1,9,1,9,Modelo,Bottle,16oz(470ml),101 to 150,4.9 to 5.9,2.79,ModeloBottle.jpg
4912,1,9,2,9,Budweiser,Can,12oz(350ml),101 to 150,12+,2.79,BudweiserCan.jpg
1780,1,9,3,9,Miller,Bottle,16oz(470ml),151+,8 to 12,0.75,MillerBottle.jpg
